group,granularity,payload,packets,jitter_ns,loss,skew_ns,single_path,key_window,seek_cap,replay_window,seed,warmup,ppf,spacing_ns,delivered,lost_packets,lost_a,lost_b,wins_a,wins_b,duplicates_dropped,reordered,lateness_p50,lateness_p99,lateness_p999,lateness_max,gaps,max_gap,decrypted,drops_behind,drops_seek_cap,drops_replay,drops_auth,cache_hits,installs,catchup_steps,max_catchup,keying_loss,undecrypted_rate,wire_len,measured_calls,mean_ns,p50_ns,p99_ns,p999_ns,max_ns,gbps,warmup_calls,warmup_mean_ns,advance_n,advance_mean_ns,current_n,current_mean_ns,straggler_n,straggler_mean_ns
payload,frame,256,1000000,50000,0.00001,150000,false,512,4096,512,1,50000,20250,823.0452674897119,1000000,0,11,10,999989,11,999979,836548,21,55,58,222,144495,34,1000000,0,0,0,0,999950,984,50,1,0,0,284,950000,179.27777263157896,167,250,500,14375,12.673071327526063,50000,179.97116,47,1124.9787234042553,948931,179.06727886432208,1022,331.23091976516633
payload,frame,512,1000000,0,0,0,true,512,4096,512,1,50000,10125,1646.0905349794239,1000000,0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,999901,99,99,1,0,0,540,950000,214.20816736842104,208,250,334,24291,20.16729825511248,50000,213.28504,94,1102.8936170212767,949906,214.1202255802153,0,
payload,frame,512,1000000,50000,0.00001,150000,false,512,4096,512,1,50000,10125,1646.0905349794239,1000000,0,11,10,999989,11,999979,766778,9,26,29,112,192672,19,1000000,0,0,0,0,999901,977,99,1,0,0,540,950000,202.93259789473683,208,250,500,6709,21.2878563858963,50000,203.5536,94,1114.3936170212767,949036,202.6920180056394,870,366.88850574712643
payload,frame,800,1000000,0,0,0,true,512,4096,512,1,50000,6480,2572.01646090535,1000000,0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,999845,155,155,1,0,0,828,950000,249.08278315789474,250,292,375,14041,26.59356827485349,50000,248.68362,147,1143.7142857142858,949853,248.9443292804255,0,
payload,frame,800,1000000,50000,0.00001,150000,false,512,4096,512,1,50000,6480,2572.01646090535,1000000,0,11,10,999989,11,999979,707145,5,17,18,71,226468,16,1000000,0,0,0,0,999845,1073,155,1,0,0,828,950000,235.1365694736842,250,292,542,13041,28.170862638792297,50000,234.96264,147,1145.6938775510205,949037,234.84083971436309,816,415.046568627451
payload,frame,1024,1000000,0,0,0,true,512,4096,512,1,50000,5062,3292.5062557618858,1000000,0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,999802,198,198,1,0,0,1052,950000,271.84600210526315,250,333,417,17208,30.958704320916183,50000,274.7252,188,1175.537234042553,949812,271.66713096907597,0,
payload,frame,1024,1000000,50000,0.00001,150000,false,512,4096,512,1,50000,5062,3292.5062557618858,1000000,0,11,10,999989,11,999979,667459,3,13,14,54,244953,13,1000000,0,0,0,0,999802,1078,198,1,0,0,1052,950000,262.2433263157895,250,333,583,13250,32.092332408358715,50000,264.05038,188,1219.2021276595744,949069,261.9068434434167,743,449.91117092866756
payload,frame,1200,1000000,0,0,0,true,512,4096,512,1,50000,4320,3858.0246913580245,1000000,0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,999768,232,232,1,0,0,1228,950000,288.2194852631579,292,334,417,9917,34.085134775083745,50000,288.68158,220,1167.0681818181818,949780,288.0159152645876,0,
payload,frame,1200,1000000,50000,0.00001,150000,false,512,4096,512,1,50000,4320,3858.0246913580245,1000000,0,11,10,999989,11,999979,639076,2,11,12,49,256263,11,1000000,0,0,0,0,999768,1098,232,1,0,0,1228,950000,278.2199989473684,291,334,625,15208,35.31018631719005,50000,287.2537,220,1183.3363636363636,949034,277.86250861402226,746,466.0817694369973
payload,frame,1424,1000000,0,0,0,true,512,4096,512,1,50000,3640,4578.754578754579,1000000,0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,999725,275,275,1,0,0,1452,950000,314.03374105263157,333,375,459,19000,36.98965582826712,50000,314.62328,261,1238.0306513409962,949739,313.7798152966236,0,
payload,frame,1424,1000000,50000,0.00001,150000,false,512,4096,512,1,50000,3640,4578.754578754579,1000000,0,11,10,999989,11,999979,605713,2,9,10,41,267239,9,1000000,0,0,0,0,999725,1117,275,1,0,0,1452,950000,316.4644505263158,292,458,667,49166,36.705544590178434,50000,310.2751,261,1250.7624521072796,949069,316.0613527572811,670,523.5029850746268
payload,frame,2048,1000000,0,0,0,true,512,4096,512,1,50000,2531,6585.0125115237715,1000000,0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,999604,396,396,1,0,0,2076,950000,382.08737368421055,375,417,583,10750,43.466497832315866,50000,383.92984,376,1243.348404255319,949624,381.7463606648526,0,
payload,frame,2048,1000000,50000,0.00001,150000,false,512,4096,512,1,50000,2531,6585.0125115237715,1000000,0,11,10,999989,11,999979,523640,1,6,7,27,282712,7,1000000,0,0,0,0,999604,1214,396,1,0,0,2076,950000,373.88114736842107,375,458,708,39625,44.42053341522069,50000,376.49154,376,1259.4441489361702,949040,373.3920930624631,584,598.4708904109589
payload,frame,4096,1000000,0,0,0,true,512,4096,512,1,50000,1265,13175.230566534914,1000000,0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,999209,791,791,1,0,0,4124,950000,596.3644747368421,583,791,1541,40542,55.32187344753959,50000,592.57794,751,1517.0772303595206,949249,595.6360512362932,0,
payload,frame,4096,1000000,50000,0.00001,150000,false,512,4096,512,1,50000,1265,13175.230566534914,1000000,0,11,10,999989,11,999979,322629,0,3,3,13,252590,4,1000000,0,0,0,0,999209,1459,791,1,0,0,4124,950000,588.6291494736843,583,750,1000,44792,56.04887224749132,50000,592.96074,751,1483.5992010652462,948865,587.8029698639954,384,879.8020833333334
payload,frame,8924,1000000,0,0,0,true,512,4096,512,1,50000,580,28735.632183908045,1000000,0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,998275,1725,1725,1,0,0,8952,950000,1099.3089136842104,1083,1417,2917,250875,65.14638343101123,50000,1091.8048,1638,2016.989010989011,948362,1097.7239071156373,0,
payload,frame,8924,1000000,50000,0.00001,150000,false,512,4096,512,1,50000,580,28735.632183908045,1000000,0,11,10,999989,11,999979,90561,0,1,1,6,90560,2,1000000,0,0,0,0,998275,2055,1725,1,0,0,8952,950000,1099.6643326315789,1083,1458,2958,30417,65.12532767941792,50000,1092.082,1638,2038.1184371184372,948206,1097.9845655901777,156,1455.929487179487
payload,packet,16,1000000,0,0,0,true,512,4096,512,1,50000,324000,51.440329218106996,1000000,0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,0,1000000,1000000,1,0,0,44,950000,962.9942494736842,958,1208,1417,83583,0.3655265856388887,50000,1082.75186,950000,962.9942494736842,0,,0,
payload,packet,16,1000000,50000,0.00001,150000,false,3923,4096,3922,1,50000,324000,51.440329218106996,1000000,0,11,10,999989,11,999979,959673,447,930,954,3719,39313,124,1000000,0,0,0,0,959673,1000000,1000000,125,0,0,44,950000,899.67724,459,15375,29083,640625,0.39125142256571926,50000,898.28236,38277,10909.408051832694,0,,911723,479.43724793605077
payload,packet,32,1000000,0,0,0,true,512,4096,512,1,50000,162000,102.88065843621399,1000000,0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,0,1000000,1000000,1,0,0,60,950000,966.9149989473684,958,1291,2042,566417,0.49642419501461016,50000,959.24946,950000,966.9149989473684,0,,0,
payload,packet,32,1000000,50000,0.00001,150000,false,1962,4096,1961,1,50000,162000,102.88065843621399,1000000,0,11,10,999989,11,999979,942951,216,460,475,1873,54889,100,1000000,0,0,0,0,942951,1000000,1000000,101,0,0,60,950000,903.8836705263158,459,12833,21875,553000,0.5310417874022487,50000,897.93434,54204,7924.036510220648,0,,895796,479.09904933712585
payload,packet,40,1000000,0,0,0,true,512,4096,512,1,50000,129600,128.6008230452675,1000000,0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,0,1000000,1000000,1,0,0,68,950000,975.0644178947368,958,1125,1500,1144250,0.5579118569156193,50000,966.29976,950000,975.0644178947368,0,,0,
payload,packet,40,1000000,50000,0.00001,150000,false,1564,4096,1563,1,50000,129600,128.6008230452675,1000000,0,11,10,999989,11,999979,936205,170,367,379,1453,61107,100,1000000,0,0,0,0,936205,1000000,1000000,101,0,0,68,950000,905.6941052631579,459,12041,19916,73084,0.6006442979353782,50000,899.8016,60624,7137.492329770388,0,,889376,480.9057867538589
payload,packet,64,1000000,0,0,0,true,512,4096,512,1,50000,81000,205.76131687242798,1000000,0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,0,1000000,1000000,1,0,0,92,950000,969.4425336842105,958,1292,1458,41209,0.7591992041064572,50000,1021.49634,950000,969.4425336842105,0,,0,
payload,packet,64,1000000,50000,0.00001,150000,false,977,4096,976,1,50000,81000,205.76131687242798,1000000,0,11,10,999989,11,999979,919125,102,227,236,928,76454,68,1000000,0,0,0,0,919125,1000000,1000000,69,0,0,92,950000,901.3553178947368,459,10375,16250,61334,0.8165481307849259,50000,977.736,76777,5727.986753845553,0,,873223,476.9800073978812
payload,packet,128,1000000,0,0,0,true,512,4096,512,1,50000,40500,411.52263374485597,1000000,0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,0,1000000,1000000,1,0,0,156,950000,976.8340863157895,959,1166,2084,639416,1.2775966947539015,50000,973.16512,950000,976.8340863157895,0,,0,
payload,packet,128,1000000,50000,0.00001,150000,false,512,4096,512,1,50000,40500,411.52263374485597,1000000,0,11,10,999989,11,999979,884938,47,112,117,452,105941,43,1000000,0,0,0,0,884938,1000000,1000000,44,0,0,156,950000,917.8216842105263,500,8125,12042,774708,1.359741245461508,50000,912.03032,109285,4224.94853822574,0,,840715,487.92646616273055
payload,packet,160,1000000,0,0,0,true,512,4096,512,1,50000,32400,514.40329218107,1000000,0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,0,1000000,1000000,1,0,0,188,950000,999.5116252631578,1000,1292,2125,606542,1.5047348744983504,50000,987.41892,950000,999.5116252631578,0,,0,
payload,packet,160,1000000,50000,0.00001,150000,false,512,4096,512,1,50000,32400,514.40329218107,1000000,0,11,10,999989,11,999979,871139,37,89,93,365,117334,41,1000000,0,0,0,0,871139,1000000,1000000,42,0,0,188,950000,930.8065,500,7666,11000,276958,1.6158030697035313,50000,922.82344,122397,3855.875511654697,0,,827603,498.2081746924552
payload,packet,256,1000000,0,0,0,true,512,4096,512,1,50000,20250,823.0452674897119,1000000,0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,0,1000000,1000000,1,0,0,284,950000,1005.6551326315789,1000,1292,2125,366958,2.259223789824126,50000,995.1785,950000,1005.6551326315789,0,,0,
payload,packet,256,1000000,50000,0.00001,150000,false,512,4096,512,1,50000,20250,823.0452674897119,1000000,0,11,10,999989,11,999979,836548,21,55,58,222,144495,34,1000000,0,0,0,0,836548,1000000,1000000,35,0,0,284,950000,950.3871063157894,500,6416,9000,948875,2.390604822920517,50000,945.91984,155288,3180.7228890835095,0,,794712,514.5759155517974
payload,packet,512,1000000,0,0,0,true,512,4096,512,1,50000,10125,1646.0905349794239,1000000,0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,0,1000000,1000000,1,0,0,540,950000,1025.3201715789473,1000,1208,2167,1098875,4.21331806371018,50000,1020.54976,950000,1025.3201715789473,0,,0,
payload,packet,512,1000000,50000,0.00001,150000,false,512,4096,512,1,50000,10125,1646.0905349794239,1000000,0,11,10,999989,11,999979,766778,9,26,29,112,192672,19,1000000,0,0,0,0,766778,1000000,1000000,20,0,0,540,950000,976.737947368421,542,4875,6750,864625,4.422885392790535,50000,971.98354,221603,2421.2640262090313,0,,728397,537.2642638561115
